bfs_nummer,name,einwohnerzahl,min_distanz_m
1123,Altishofen,2057,8467.383450909714
1083,Buttisholz,3486,6325.678562279853
2788,Liesberg,1105,5160.092533044008
5399,Verzasca,776,10852.751226733915
5785,Corcelles-le-Jorat,499,7067.826636763186
2865,Wenslingen,712,5271.002776864051
181,Wila,2113,5574.651151689319
5429,Longirod,556,5201.920464842373
1212,Realp,149,12392.869051079517
435,La Ferrière,548,7001.512602882622
990,Walliswil bei Niederbipp,222,5285.496430457827
626,Walkringen,1829,5898.070314665693
3672,Safiental,964,10339.3362495799
5629,Clarmont,228,5488.813033521609
1139,Pfaffnau,2777,6465.84536552961
1348,Vorderthal,1035,5451.485068719143
6037,Val de Bagnes,10907,10624.09119443
1710,Walchwil,3995,5158.854441883843
3821,Lostallo,866,8604.783404574831
793,St. Stephan,1326,7126.663288969527
6750,Lajoux (JU),720,7991.4009984979575
333,Melchnau,1518,6297.048756747285
1135,Luthern,1240,7509.09923351991
3543,Surses,2465,7912.162175893941
2067,Le Châtelard,364,6509.426649058638
2851,Kilchberg (BL),182,5544.051855699366
5492,Montricher,943,7489.369868665133
923,Buchholterberg,1552,5530.056451193089
1220,Wassen,431,13496.218831250826
3981,Breil/Brigels,1706,13085.499692109912
2868,Zeglingen,519,5645.885657468068
2885,Eptingen,560,5382.60069387426
3962,Schiers,2993,15015.766176734202
5310,Cevio,1111,8080.101466397832
6281,Baltschieder,1386,8501.009723094585
904,Röthenbach im Emmental,1200,10044.129485726648
2889,Lauwil,324,5795.133737724382
3514,Schmitten (GR),205,8664.791896757517
3792,Bregaglia,1591,20961.048376465893
589,Oberried am Brienzersee,481,11682.906126755437
7006,Planken,491,5782.047845370199
3006,Urnäsch,2373,9156.331502516463
1002,Entlebuch,3422,6084.232618580104
3785,La Punt Chamues-ch,750,6591.257748711005
905,Rüderswil,2390,5852.651122006796
4641,Altnau,2355,7111.0218210984085
6713,Ederswiler,115,6522.4287583382265
414,Krauchthal,2381,5972.7947228434805
985,Ochlenberg,536,5538.984530897046
948,Forst-Längenbühl,779,5808.553110204111
402,Alchenstorf,634,6033.263883689879
2621,Nunningen,1983,6168.595187120554
6213,Evionnaz,1500,8516.562660952075
1122,Altbüron,1014,7264.105593377031
6218,Salvan,1495,8698.509194413255
3359,Wildhaus-Alt St. Johann,2601,8064.605375209093
2931,Bargen (SH),342,9757.682543896039
2847,Häfelfingen,246,5717.49481067533
2134,Grandvillard,903,5988.404389249108
3712,Zillis-Reischen,426,5914.546343522401
6202,Wiler (Lötschen),528,10874.568889798393
4307,Full-Reuenthal,1013,5340.689546323897
6789,Fahy,337,8629.97594645345
591,Saxeten,98,6744.776163637765
1368,Oberiberg,916,9020.66970633896
782,Guttannen,241,15919.159025301256
1004,Flühli,1858,11694.24749049328
3746,Zernez,1592,18032.41067012344
565,Kandersteg,1299,11694.858373213166
2236,Gibloux,8393,5301.3239732286675
6511,Les Verrières,658,8406.17416787955
4601,Neunforn,1112,8062.639852407364
5479,Cuarnens,561,5772.904554237738
1209,Gurtnellen,487,9629.449363105585
26,Dorf,728,6253.253113040071
3891,Luzein,1689,12036.582085486034
5554,Concise,1025,5086.515902210772
761,Därstetten,868,13002.153915623632
2951,Beggingen,485,10291.425456663032
3695,Sufers,147,16863.381837347977
3832,Grono,1580,6947.192086116084
311,Schüpfen,3784,5480.495423379037
2149,La Roche,1959,8007.969167016898
5937,Vugelles-La Mothe,146,5400.530339833918
715,Rebévelier,32,6829.874536728586
2479,Rodersdorf,1408,7783.372323396969
4841,Pfyn,2259,7052.003807680434
